               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,             0.02751,            0.037133,                   0,             0.97609,             0.95046,             0.98564,             0.67064,            0.025106,            0.038099,                   0,           0.0004159,           0.0004159,           0.0004159
                  61,            0.027438,            0.038206,                   0,             0.96942,             0.95884,             0.98622,             0.67898,            0.024547,            0.037865,                   0,            0.000406,            0.000406,            0.000406
                  62,            0.027426,            0.038255,                   0,             0.97538,             0.95408,              0.9857,             0.67564,            0.024695,            0.037973,                   0,           0.0003961,           0.0003961,           0.0003961
                  63,             0.02701,            0.036452,                   0,             0.97437,             0.95639,             0.98613,             0.68002,            0.024515,            0.037747,                   0,           0.0003862,           0.0003862,           0.0003862
                  64,            0.026813,            0.037242,                   0,             0.97656,             0.95655,             0.98708,             0.67821,            0.024695,            0.037718,                   0,           0.0003763,           0.0003763,           0.0003763
                  65,            0.026911,            0.037011,                   0,              0.9741,             0.95317,             0.98514,             0.68537,            0.024255,            0.037877,                   0,           0.0003664,           0.0003664,           0.0003664
                  66,            0.027028,            0.037472,                   0,             0.97288,             0.95702,             0.98654,             0.68038,            0.024495,            0.037712,                   0,           0.0003565,           0.0003565,           0.0003565
                  67,             0.02686,            0.037568,                   0,             0.97335,             0.95808,             0.98741,              0.6831,            0.024315,            0.037394,                   0,           0.0003466,           0.0003466,           0.0003466
                  68,            0.026705,            0.037376,                   0,             0.97718,             0.95274,             0.98729,             0.68956,            0.024018,            0.037425,                   0,           0.0003367,           0.0003367,           0.0003367
                  69,            0.026709,            0.036365,                   0,             0.97396,             0.95513,             0.98653,             0.67715,            0.024773,            0.037875,                   0,           0.0003268,           0.0003268,           0.0003268
                  70,            0.027241,            0.037741,                   0,             0.97095,             0.96176,             0.98748,             0.69146,             0.02395,            0.037236,                   0,           0.0003169,           0.0003169,           0.0003169
                  71,            0.027094,            0.037658,                   0,             0.97436,             0.95591,             0.98569,             0.68831,            0.024161,            0.037531,                   0,            0.000307,            0.000307,            0.000307
                  72,            0.026957,            0.037486,                   0,             0.97092,             0.96059,             0.98664,             0.69006,            0.024072,            0.037474,                   0,           0.0002971,           0.0002971,           0.0002971
                  73,            0.026774,            0.037221,                   0,             0.97806,             0.95312,             0.98713,             0.68773,            0.024046,            0.037407,                   0,           0.0002872,           0.0002872,           0.0002872
                  74,            0.026543,            0.036762,                   0,             0.97083,             0.95778,             0.98694,             0.68805,            0.024065,             0.03738,                   0,           0.0002773,           0.0002773,           0.0002773
