               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,             0.02235,            0.032913,                   0,             0.98153,             0.97523,              0.9922,             0.75443,            0.019608,            0.033549,                   0,           0.0007129,           0.0007129,           0.0007129
                  60,            0.022367,            0.032563,                   0,             0.98436,             0.97485,             0.99227,             0.75459,            0.019602,            0.033503,                   0,          0.00070795,          0.00070795,          0.00070795
                  61,            0.022464,            0.033085,                   0,              0.9851,             0.97294,             0.99222,             0.75486,            0.019629,            0.033482,                   0,            0.000703,            0.000703,            0.000703
                  62,            0.022301,             0.03319,                   0,             0.98463,             0.97389,              0.9924,             0.75717,             0.01955,            0.033378,                   0,          0.00069805,          0.00069805,          0.00069805
                  63,            0.022207,            0.033015,                   0,             0.98403,             0.97637,             0.99248,             0.75804,            0.019506,            0.033355,                   0,           0.0006931,           0.0006931,           0.0006931
                  64,            0.022267,            0.032857,                   0,             0.98331,             0.97652,             0.99263,             0.75876,            0.019457,            0.033345,                   0,          0.00068815,          0.00068815,          0.00068815
                  65,            0.021925,            0.032453,                   0,             0.98394,             0.97675,             0.99279,             0.75903,            0.019453,            0.033351,                   0,           0.0006832,           0.0006832,           0.0006832
                  66,            0.022097,            0.032334,                   0,             0.98402,             0.97694,             0.99273,             0.75906,            0.019429,            0.033319,                   0,          0.00067825,          0.00067825,          0.00067825
                  67,            0.022077,            0.032922,                   0,             0.98423,             0.97732,             0.99282,             0.75866,             0.01941,            0.033278,                   0,           0.0006733,           0.0006733,           0.0006733
                  68,             0.02188,            0.032464,                   0,             0.98248,             0.97828,             0.99282,              0.7595,             0.01939,            0.033207,                   0,          0.00066835,          0.00066835,          0.00066835
                  69,            0.021864,             0.03239,                   0,             0.98268,             0.97809,             0.99272,             0.76047,            0.019367,            0.033179,                   0,           0.0006634,           0.0006634,           0.0006634
                  70,            0.021863,            0.032348,                   0,             0.98296,              0.9783,             0.99274,             0.76107,            0.019359,            0.033139,                   0,          0.00065845,          0.00065845,          0.00065845
                  71,            0.021763,            0.032188,                   0,             0.98249,             0.97904,             0.99282,             0.76178,            0.019339,            0.033098,                   0,           0.0006535,           0.0006535,           0.0006535
                  72,            0.021785,            0.032592,                   0,             0.98373,             0.97885,              0.9928,             0.76175,             0.01932,            0.033049,                   0,          0.00064855,          0.00064855,          0.00064855
                  73,            0.021765,             0.03243,                   0,             0.98353,             0.97847,             0.99283,             0.76203,            0.019283,            0.033014,                   0,           0.0006436,           0.0006436,           0.0006436
                  74,             0.02167,            0.032124,                   0,             0.98417,             0.97752,             0.99289,             0.76267,             0.01924,            0.032963,                   0,          0.00063865,          0.00063865,          0.00063865
                  75,            0.021688,            0.032384,                   0,             0.98261,             0.97968,             0.99285,             0.76325,            0.019227,            0.032952,                   0,           0.0006337,           0.0006337,           0.0006337
                  76,            0.021728,            0.032189,                   0,             0.98314,             0.97885,             0.99286,             0.76284,            0.019221,            0.032957,                   0,          0.00062875,          0.00062875,          0.00062875
                  77,             0.02166,             0.03186,                   0,             0.98391,             0.97853,             0.99291,             0.76267,            0.019194,            0.032911,                   0,           0.0006238,           0.0006238,           0.0006238
                  78,            0.021616,            0.031954,                   0,              0.9845,             0.97885,             0.99296,             0.76354,            0.019165,            0.032873,                   0,          0.00061885,          0.00061885,          0.00061885
                  79,             0.02151,            0.032279,                   0,             0.98448,             0.97914,               0.993,             0.76345,            0.019136,            0.032841,                   0,           0.0006139,           0.0006139,           0.0006139
                  80,             0.02155,            0.031959,                   0,             0.98374,             0.98011,             0.99304,             0.76394,            0.019118,            0.032811,                   0,          0.00060895,          0.00060895,          0.00060895
                  81,            0.021452,            0.032069,                   0,             0.98355,              0.9795,             0.99303,             0.76434,            0.019104,            0.032787,                   0,            0.000604,            0.000604,            0.000604
                  82,            0.021311,            0.031439,                   0,             0.98342,             0.97904,             0.99304,             0.76468,            0.019098,            0.032777,                   0,          0.00059905,          0.00059905,          0.00059905
